기간,구분,평균,평균최고,극점최고,평균최저,극점최저,강수량(mm),평균,최소,평균해면기압(hPa),이슬점온도(℃),평균운량(10%),일조시간(hr),평균풍속,최대풍속
2004.04 ,서울시,13.1,18.3,27.3,8.5,2.7,74.1,51,12,1013.8,2,3.9,210.3,2.7,7.8
2004.05 ,서울시,17.6,22.2,27.6,13.7,8.8,168.5,68,12,1009.4,10.9,5.8,166.9,2.6,9.1
2004.06 ,서울시,23.2,27.7,32.5,19.3,14.6,138.1,64,17,1009.6,15.2,6.4,151.5,2.1,6.8
2004.07 ,서울시,24.8,27.7,34.5,22.3,19.5,510.7,82,44,1006.9,21.3,7.8,85.4,2.3,7.9
2004.08 ,서울시,26.1,30.2,36.2,22.8,18.7,193.3,70,22,1007.9,20.1,6,147.8,2.4,7.1
2004.09 ,서울시,21.7,26.3,31.3,17.8,12.8,198.7,69,22,1014.7,15.3,5.5,168.2,2.2,8
2004.10 ,서울시,15.2,20.8,25.6,10.3,5.3,6.5,54,14,1021,5.5,2.4,252.6,2,6.4
2004.11 ,서울시,9.1,13.4,21.5,5.3,0.2,80,66,21,1022.9,2.8,3.7,156.7,2,9.7
2004.12 ,서울시,1.9,5.8,16.2,-1.4,-8.3,27.2,56,15,1025.2,-6.5,3,193.1,2.2,6.6
2005.01 ,서울시,-2.5,1.5,7.3,-6.2,-11,4.5,52,12,1023.2,-11.9,2.7,191.5,2.4,7.5
2005.02 ,서울시,-1.9,2.2,10.5,-5.5,-13.1,17.2,49,15,1024.5,-12.2,3.5,177.8,2.8,11
2005.03 ,서울시,4.1,8.8,17.6,0.2,-6.5,12.5,54,13,1019.6,-5.1,3.8,221.9,2.9,9.5
2005.04 ,서울시,13.2,18.1,29.8,8.9,4.1,94.7,53,9,1014,2.9,4.3,199.5,3,10.4
2005.05 ,서울시,17.7,22.9,30.2,13,6.3,85.8,55,8,1010.4,7.4,4.1,235.3,2.4,9.3
2005.06 ,서울시,22.7,27.3,32,19.1,15.5,168.5,69,26,1005.7,16.4,6.3,138.3,2.4,8.8
2005.07 ,서울시,25.3,28.8,34.2,22.7,18.3,269.4,76,44,1006.2,20.7,7.2,79.4,2.2,8
2005.08 ,서울시,25.1,28.7,35,22.4,16.5,285,75,30,1008.5,20.3,6.9,103.1,2.6,8.2
2005.09 ,서울시,21.8,25.7,30.8,18.6,13.8,313.3,71,30,1015.2,16,6.4,113.7,2.3,8.4
2005.10 ,서울시,14.7,19.4,24.9,10.7,3,52.6,65,17,1020,7.7,3.4,200,1.7,5.4
2005.11 ,서울시,8.6,12.9,21.8,4.6,-1.1,44.6,55,10,1020.6,-0.6,2.9,172.5,2.2,8.4
2005.12 ,서울시,-3.9,-0.1,11.1,-7.4,-14,10.3,51,18,1025.2,-13.6,2.2,204.1,2.5,7.6
2006.01 ,서울시,-0.2,3.4,9.3,-3.3,-10.1,34.3,57,18,1025.4,-8.6,4,161.1,2.1,6.1
2006.02 ,서울시,0.1,4.2,11.5,-4,-14.1,15.7,53,12,1025.9,-9.6,4.3,172.6,2.6,8.1
2006.03 ,서울시,5.2,9.9,17.2,0.9,-6.9,14,51,8,1016.9,-5.4,4.2,201.9,2.9,10.9
2006.04 ,서울시,11.6,16.2,22.2,7.7,2.9,51.8,55,10,1011,2,5.9,136,3,9.1
2006.05 ,서울시,18.4,23.4,28.3,14,10.8,156.2,57,13,1012.1,9,5.2,199.1,2.5,8.6
2006.06 ,서울시,21.8,26.3,32.4,18.1,14.1,168.5,68,21,1007.1,15.1,6.1,155.8,2.2,8
2006.07 ,서울시,23.1,26,30.1,20.9,17.5,1014,82,43,1006.1,19.8,8.7,34.3,2.3,9.2
2006.08 ,서울시,27,31.1,34.7,23.9,20.8,121.2,69,34,1008.4,20.6,5.4,177.1,2.1,7.6
2006.09 ,서울시,21.1,25.7,30.3,16.9,11.3,11.1,58,19,1014.8,12.1,4.7,195.7,2.1,7.1
2006.10 ,서울시,17.9,22.6,27.5,13.9,7.9,30.2,62,11,1018.8,10.2,3.2,185.2,2,8.5
2006.11 ,서울시,8.4,12.4,20.2,4.5,-1.3,47.6,58,14,1020.1,-0.1,4.3,153.5,2.4,8.1
2006.12 ,서울시,1.4,5.4,12.6,-2,-12.3,17.3,59,16,1026.7,-6.4,3.7,159.4,2.1,7.2
2007.01 ,서울시,0.4,4.1,11.8,-2.8,-7.6,10.8,56,18,1026.5,-7.8,3.5,181.9,2,8
2007.02 ,서울시,4,8.7,14.8,0.1,-8.6,12.6,53,13,1021.3,-5.6,3.3,171.5,2.3,8.6
2007.03 ,서울시,6.1,10.3,16.2,2.3,-7.6,123.5,60,15,1018.1,-1.9,5.2,147.1,2.7,10
2007.04 ,서울시,11.4,16.1,22.5,7.5,1.6,41.1,53,14,1016,1.2,4.8,191.8,2.8,9.4
2007.05 ,서울시,18.1,23.4,30.1,13.6,9,137.6,62,17,1007.8,10,5.5,197.3,2.6,8.7
2007.06 ,서울시,23.2,27.7,33.2,19.2,14.1,54.5,61,13,1008.4,14.3,6.1,175.2,2.3,6.9
2007.07 ,서울시,24.2,27.8,31.2,21.3,17.7,274.1,75,35,1004.5,19.2,7.6,91.5,2.4,7.3
2007.08 ,서울시,26.5,29.9,33.2,23.8,19.8,237.6,75,23,1008.4,21.5,6.9,105.7,2.6,9.9
2007.09 ,서울시,21.5,25.1,31.1,18.6,14.1,241.9,74,36,1012.4,16.6,7.3,85.1,2.5,8
2007.10 ,서울시,15.1,19.6,26.2,11.3,3.2,39.5,63,13,1019.7,7.7,4.9,170.9,2.1,8
2007.11 ,서울시,6.7,11.4,19.3,2.8,-5.5,26.4,55,15,1023.8,-2.3,3.1,188.5,2.2,7.7
2007.12 ,서울시,1.8,5.4,13.8,-1.4,-7.4,12.7,60,24,1022.7,-5.5,4,140.8,2.4,8.5
2008.01 ,서울시,-1.7,1.9,7.3,-5,-11.1,17.7,50,13,1026.5,-11.9,4.5,166.5,2.3,6.9
2008.02 ,서울시,-1.2,3.2,10.5,-4.9,-10.1,15,46,12,1025.1,-12.6,2.3,224.2,2.7,8.4
2008.03 ,서울시,7.3,11.9,19.8,3.7,-1.7,53.9,56,10,1018.4,-1.8,4.2,187.3,2.6,8.3
2008.04 ,서울시,14.1,19.5,28,9.3,3.8,38.5,50,11,1015.2,2.8,4.6,208.1,2.7,10.9
2008.05 ,서울시,17.7,22.7,28.5,13.1,8.1,97.7,58,10,1010.2,8.2,4.8,213.8,2.7,8.7
2008.06 ,서울시,21.5,26.1,29.6,17.6,13.7,165,65,23,1009.1,14,6.5,173.8,2.7,7.5
2008.07 ,서울시,25.1,28.4,32.9,22.6,20.2,530.8,78,45,1007,20.8,8.2,78.7,2.4,7.9
2008.08 ,서울시,25.3,29.5,35.4,21.8,16.3,251.2,69,29,1007.5,18.8,5.4,196.6,2.5,8.6
2008.09 ,서울시,22,26.9,32,18,10.3,99.2,64,18,1013.3,14.2,5.2,184.6,1.9,6.6
2008.10 ,서울시,16.1,21,28.3,12.1,5.6,41.8,62,22,1018.7,8.1,3.9,185.1,2,7.2
2008.11 ,서울시,7.6,11.7,18.4,3.8,-7.2,19.6,58,9,1022.1,-0.8,4.3,169.7,2.2,8.4
2008.12 ,서울시,1.1,5,13.3,-2.7,-13.1,25.9,56,16,1023.6,-7.2,4.3,157,2.5,8.2
2009.01 ,서울시,-2,2.3,12.2,-5.5,-11.4,5.7,50,14,1025.5,-11.6,2.5,210.6,2.5,8.1
2009.02 ,서울시,2.9,6.8,16.1,-0.6,-8.6,36.9,57,12,1020.6,-5.5,5.3,125.6,2.5,11.9
2009.03 ,서울시,6,10.6,22.2,1.8,-3.3,63.9,52,13,1019.3,-4.2,4.4,202.7,3.1,8.8
2009.04 ,서울시,12.7,18,25.8,8.1,2.2,66.5,54,13,1015.2,2.4,4.1,204.5,2.6,8.6
2009.05 ,서울시,19.1,24.3,31,14.6,9.8,109,59,15,1011.9,9.4,4.3,240.2,2.5,8.2
2009.06 ,서울시,22.4,26.7,32.4,18.8,14.3,132,66,18,1004.8,15,5.4,181,2.5,8.8
2009.07 ,서울시,24.3,28.2,32.4,21,18.7,659.4,76,36,1004.9,19.4,6.7,115.8,2.3,10.4
2009.08 ,서울시,25.7,29.5,34.4,22.4,16.4,285.3,69,24,1008.6,19.1,5.6,150.9,2.2,7.1
2009.09 ,서울시,21.8,26.3,29.9,17.7,14.4,64.5,64,23,1013.6,14.1,4,201.6,1.8,6.5
2009.10 ,서울시,16,20.9,26.4,11.7,6.2,66.9,62,23,1016.6,8,2.5,236.3,2.1,9.7
2009.11 ,서울시,6.9,10.4,21.8,3.7,-4.3,52.4,64,19,1023.6,-,5.1,130.1,2.5,6.8
2009.12 ,서울시,-1,2.5,10.1,-4.2,-12.9,21.5,60,15,1022.9,-8.3,3.8,146.1,2.5,8.3
2010.01 ,서울시,-4.5,-0.7,8.4,-8.1,-15.3,29.3,65,26,1024.6,-10.5,3.7,167.9,2.3,6.9
2010.02 ,서울시,1.4,4.9,17.9,-1.7,-10.8,55.3,59,14,1021.1,-6.1,4.8,141.2,2.4,6.6
2010.03 ,서울시,4.3,8.1,14.2,0.5,-4,82.5,59,13,1020.1,-3.9,6.2,133,2.9,10.2
2010.04 ,서울시,9.5,14,20.7,5.6,1.1,62.8,54,12,1017.8,-0.4,5.2,166.3,2.9,10.9
2010.05 ,서울시,17.2,22,28.6,13,5.8,124,62,21,1010.7,8.9,5.4,178.5,2.6,9.9
2010.06 ,서울시,23.4,28.2,32.7,19.3,12.1,127.6,62,12,1009.3,14.6,5,203,2.1,6
2010.07 ,서울시,25.8,29.3,32.3,23.1,21,239.2,74,32,1007.3,20.3,7.4,89.8,2.5,7.9
2010.08 ,서울시,26.5,30,33.8,23.8,19.9,598.7,78,26,1010,21.9,7.6,96.5,2.4,10.7
2010.09 ,서울시,21.8,26,31.4,18.5,8.4,671.5,72,25,1013.2,16,5.9,146.4,2.3,14
2010.10 ,서울시,14.5,19.3,24.2,10.4,0.7,25.6,61,14,1019,6.5,3.7,194.6,2.2,8.1
2010.11 ,서울시,6.5,11.3,17.4,2.5,-5.2,10.9,55,11,1021.2,-2.6,3.4,180.3,2.8,10.5
2010.12 ,서울시,-1.3,3.1,13.5,-5.1,-15.1,16.1,56,17,1018,-9.4,4.1,157.8,3,9.1
2011.01 ,서울시,-7.2,-3.4,0.3,-10.5,-17.8,8.9,54,19,1027.3,-15.3,2.7,218.5,2.8,8
2011.02 ,서울시,1.2,5.9,13.2,-2.5,-9.2,29.1,55,15,1022.1,-7.6,4,166.6,2.6,10.6
2011.03 ,서울시,3.6,8.3,16.8,-0.1,-5.5,14.6,51,12,1021.4,-6.6,3.3,240.2,3.4,9.9
2011.04 ,서울시,10.7,15.6,19,6.8,4.3,110.1,54,10,1014.1,0.3,4.7,202.1,3.2,9.5
2011.05 ,서울시,17.9,23,31.2,13.6,8.5,53.4,56,15,1010.7,7.9,5.6,180.4,2.8,9.7
2011.06 ,서울시,22,26.6,32.9,18.4,14.4,404.5,67,19,1006.5,14.6,6.1,170.8,2.9,10.9
2011.07 ,서울시,24.6,28,34.1,22,18.9,1131,79,30,1005.7,20.3,8,80.4,2.4,9.3
2011.08 ,서울시,25.8,29.5,34.1,23,18.1,166.8,74,30,1008.3,20.5,7.5,94,2.5,9.4
2011.09 ,서울시,21.8,26.6,32.4,17.7,10.3,25.6,58,13,1012.8,12.5,4.5,180.4,2.4,7.6
2011.10 ,서울시,14.2,19.3,23.4,9.7,3.1,32,55,15,1020.3,4.3,3.8,215.3,2.1,7.1
2011.11 ,서울시,10.7,14.7,25.9,7.2,-5.5,56.2,60,14,1022.7,2.8,6,129.5,2.7,9.7
2011.12 ,서울시,-0.9,2.9,9.1,-4.1,-10.6,7.1,50,15,1027.6,-10.5,3.9,195.6,2.6,7.7
2012.01 ,서울시,-2.8,1.3,8.4,-6.3,-12.2,6.7,48.9,12,1026.1,-12.8,3.6,190.5,2.5,7.5
2012.02 ,서울시,-2,3,12.1,-6,-17.1,0.8,43.2,11,1024,-13.8,3.4,224.9,2.9,8.1
2012.03 ,서울시,5.1,9.5,16.2,1.5,-5.7,47.4,51.8,9,1019.5,-5.1,5.2,191.8,3.5,10.2
2012.04 ,서울시,12.3,17.9,29.4,7.8,0.6,157,54.1,9,1013,1.9,4.6,212.5,3.4,12
2012.05 ,서울시,19.7,25.1,29.3,15.4,12,8.2,48.2,11,1011,7.4,4.3,251.3,2.7,8.6
2012.06 ,서울시,24.1,29.7,33.5,20,16.3,91.9,54.1,21,1007,13.5,5.4,232,2.8,9.1
2012.07 ,서울시,25.4,29,33.2,22.4,18.5,448.9,73.8,38,1005.6,20.1,7.4,144,2.7,7.7
2012.08 ,서울시,27.1,30.9,36.7,23.9,18.7,464.9,68,31,1008.2,20.2,6.8,158.7,3,13.7
2012.09 ,서울시,21,25,29.5,17.4,12,212,65.2,26,1013.5,13.6,5.6,190.8,2.3,11.5
2012.10 ,서울시,15.3,20.5,26,11,2.8,99.3,58.2,14,1018.2,6.4,3.6,235.4,2.3,7.2
2012.11 ,서울시,5.5,9.5,15.7,1.8,-3,67.8,57.2,15,1019.3,-2.9,4.5,181.1,2.7,9.3
2012.12 ,서울시,-4.1,-0.5,8.3,-7.4,-14.5,41.4,57,17,1024.6,-11.8,3.5,193.6,2.7,8.8
2013.01 ,서울시,-3.4,0.3,11.5,-6.6,-16.4,22.1,57.1,21,1026.4,-11.1,4.3,167.7,2.7,8.2
2013.02 ,서울시,-1.2,2.8,13.9,-4.9,-15.8,74.1,53.6,15,1025.1,-10.3,4.7,187.2,2.9,8.4
2013.03 ,서울시,5.1,10.8,23.8,0.7,-4.4,27.3,49.2,8,1017.9,-5.7,3.3,256.3,3,8.8
2013.04 ,서울시,10,15,21.6,5.7,1.3,71.7,54,12,1012.9,-0.1,5,213.2,3.4,9.9
2013.05 ,서울시,18.2,23.6,31.8,13.7,7.9,132,57.8,11,1011.5,8.6,4.7,238.1,2.9,8.5
2013.06 ,서울시,24.4,29.2,32.6,20.5,16.3,28.3,60.1,15,1007.7,15.4,5.4,224,2.2,6.2
2013.07 ,서울시,25.5,28.3,31.3,23.4,20.5,676.2,79.3,40,1005,21.4,8.5,101,3.4,10.9
2013.08 ,서울시,27.7,31.1,33.9,24.8,21.1,148.6,69.3,28,1006.5,21.1,6.2,217.9,2.8,9.9
2013.09 ,서울시,21.8,25.9,31.1,18,10.9,138.5,62.9,16,1014.9,13.6,5.5,191,2.2,6.2
2013.10 ,서울시,15.8,21.2,28.1,10.9,4.3,13.5,59,19,1020.2,7,2.9,249.9,2.5,8.5
2013.11 ,서울시,6.2,10.7,20.7,2.1,-6.4,46.8,58,18,1020.2,-2.1,3.9,188,2.7,12.6
2013.12 ,서울시,-0.2,3.5,11,-3.5,-9.8,24.7,60,20,1022.2,-7.3,4,184.4,2.4,8.3
2014.01 ,서울시,-0.7,3.5,8.2,-4.9,-10.5,13,50,13,1025.2,-10.7,3.4,184.4,2.4,7.8
2014.02 ,서울시,1.9,6.6,16.4,-1.8,-10.5,16.2,52,16,1025.3,-7.7,4,163.9,2.7,7.4
2014.03 ,서울시,7.9,13.1,23.8,3.5,-4.6,7.2,60,16,1019.6,-0.2,3.9,214.7,3,9.1
2014.04 ,서울시,14,19.6,26.2,9.4,2.3,31,60,15,1017,5.1,4.7,213.2,2.8,9.3
2014.05 ,서울시,18.9,25.3,33.3,13.8,6.8,63,59,18,1010.4,9.8,3.2,304,3.2,11.1
2014.06 ,서울시,23.1,27.8,31.1,19.7,17.3,98.1,73,32,1006.2,17.5,6.7,184.9,2.6,8.3
2014.07 ,서울시,26.1,30.6,34.4,22.9,19.1,207.9,74,27,1006.9,20.7,6.8,172.7,2.8,10.8
2014.08 ,서울시,25.2,29,35.8,22.1,18.3,172.8,77,32,1008,20.4,7.1,150.7,2.4,9.3
2014.09 ,서울시,22.1,27,31.3,18,14.9,88.1,69,22,1013.2,15.3,4.9,214.3,2.1,7.1
2014.10 ,서울시,15.6,21.4,29,10.7,2.7,52.2,63,15,1019.7,7.8,3.3,239.8,2.4,9
2014.11 ,서울시,9,13.8,22.9,4.9,-3.1,41.5,60.9,18,1021.5,1.1,4.3,194.1,2.5,8.7
2014.12 ,서울시,-2.9,1.5,7.9,-6.7,-13.2,17.9,56,21,1024.5,-10.9,3.4,195.6,2.8,11.1
2015.01 ,서울시,-0.9,3.6,9,-4.8,-9.8,11.3,56,22,1024.7,-9,3.9,193.3,2.6,7.7
2015.02 ,서울시,1,6,13,-2.9,-13,22.7,59,17,1022.2,-6.8,4.5,180,2.9,8.5
2015.03 ,서울시,6.3,12.4,21.9,1,-6.9,9.6,45,9,1021.3,-6,2.8,270.8,3.1,9.1
2015.04 ,서울시,13.3,18.8,28.3,8.4,3.5,80.5,55,11,1015.8,2.9,5,216,3.1,10.4
2015.05 ,서울시,18.9,24.9,32.2,13.6,8.3,28.9,53,12,1009.4,7.5,4.1,290.4,3,11.1
2015.06 ,서울시,23.6,29.5,34.9,18.9,15.6,99,60,13,1006.7,14.4,5.6,258.1,2.5,7.8
2015.07 ,서울시,25.8,30,36,22.6,18.2,226,71,28,1006.5,19.6,7,176.1,2.8,8
2015.08 ,서울시,26.3,30.8,34.4,22.8,18.9,72.9,70,29,1008.2,19.9,5.6,207,2.4,8.1
2015.09 ,서울시,22.4,28.1,31,17.5,14.2,26,56,15,1014,12.4,3.8,262.1,2.3,6.7
2015.10 ,서울시,15.5,21.2,26.6,10.8,1.1,81.5,61,17,1018.4,7.1,2.8,239.7,2.3,8.6
2015.11 ,서울시,8.9,12.7,19.8,5.9,-7.3,104.6,74,23,1023.4,4,6.6,109,2.7,7.7
2015.12 ,서울시,1.6,6,12.2,-2.1,-9.5,29.1,60,19,1025.6,-5.9,4.1,177.8,2.3,8
2016.01 ,서울시,-3.2,1.1,9.5,-6.8,-18,1,53,17,1025.5,-12,4,196.1,2.5,9
2016.02 ,서울시,0.2,5.1,14.4,-4.1,-10,47.6,52,16,1024.2,-9.4,3.7,195.2,2.8,7.6
2016.03 ,서울시,7,12.6,21.4,2.4,-7.5,40.5,51,15,1021.5,-3.5,3.6,253.7,2.4,7.1
2016.04 ,서울시,14.1,20.3,29.6,9.1,5.1,76.8,55,13,1013.3,3.6,4.8,219.5,2.4,8
2016.05 ,서울시,19.6,25.7,31.9,14.1,8.9,160.5,56,10,1011.3,9.1,4.6,280.1,2.4,8.7
2016.06 ,서울시,23.6,28.7,32.2,19.5,17.1,54.4,63,21,1007.4,15.5,5.3,229.7,2.1,6.8
2016.07 ,서울시,26.2,29.8,34.1,23.3,19.8,358.2,73,37,1007.5,20.6,7.2,160.4,2.1,6.1
2016.08 ,서울시,28,32.6,36.6,24.5,16.1,67.1,64,27,1005.6,20,4.6,236.1,2.1,7.3
2016.09 ,서울시,23.1,27.9,31.1,19.3,14.3,33,65,26,1013.2,15.5,5.8,191.6,2,8.1
2016.10 ,서울시,16.1,21.3,29,11.6,0.7,74.8,62,13,1019.2,8.2,5.3,195.7,2.1,6.3
2016.11 ,서울시,6.8,11.6,18.6,2.8,-6.2,16.7,57,19,1023.2,-1.8,4.7,173.3,2.2,6.1
2016.12 ,서울시,1.2,5.8,13.6,-2.7,-9.8,61.1,59,16,1025,-6.4,4.7,166.4,2.2,7.2
2017.01 ,서울시,-1.8,2.9,11.4,-5.8,-12.6,14.9,55,17,1025.6,-10.3,3.5,209,2.3,7
2017.02 ,서울시,-0.2,4.8,12.3,-4.7,-9.3,11.1,54,18,1023.5,-9.2,2.8,210,2.5,7.8
2017.03 ,서울시,6.3,12.3,18.9,1.7,-5.3,7.9,48,15,1019.6,-4.9,3.9,255.2,2.4,8.5
2017.04 ,서울시,13.9,20,27.8,9.1,3.1,61.6,52,10,1012.8,2.9,4.4,259.7,2.6,8.1
2017.05 ,서울시,19.5,25.4,30.3,14.4,10,16.1,52,7,1012,8.3,3.9,301.5,2.4,8.5
2017.06 ,서울시,23.3,28.8,34.1,18.7,14.5,66.6,57,14,1008.2,13.1,4.7,285.2,2.4,6.4
2017.07 ,서울시,26.9,30.4,35.4,24.3,21.9,621,77,38,1007.2,22.2,7.9,123.1,2,7.3
2017.08 ,서울시,25.9,29.7,35.3,22.9,16.1,297,71,19,1007.4,19.7,7,166.2,2.3,7.7
2017.09 ,서울시,22.1,27.4,31.4,17.5,11.2,35,61,20,1013,13.6,4.2,233.7,2,6.8
2017.10 ,서울시,16.4,22.5,29.4,11.6,2.5,26.5,56,16,1020.9,7,4.5,222.7,1.9,7.6
2017.11 ,서울시,5.6,10.5,18.4,1.3,-6.6,40.7,54,13,1023,-3.9,4.2,163.9,2.1,6.7
2017.12 ,서울시,-1.9,2.2,8.7,-5.7,-12.3,34.8,56,14,1026,-10.3,3.9,176.1,1.8,6.7
2018.01 ,서울시,-4,0.1,8.7,-7.3,-17.8,8.5,48,16,1024.6,-13.9,4.3,186.7,1.9,7.2
2018.02 ,서울시,-1.6,3.3,10.4,-5.9,-13.4,29.6,45,13,1023.8,-13,3.9,194.2,2.2,6.3
2018.03 ,서울시,8.1,13.6,22.1,3.8,-6.7,49.5,59,13,1020.3,-0.2,5.2,209.1,1.9,6.9
2018.04 ,서울시,13,18.5,26.3,8.1,0.1,130.3,55,8,1015.6,2.6,4.7,223.4,2,8.8
2018.05 ,서울시,18.2,23.3,29.6,13.4,6.9,222,63,22,1011.2,10.1,5.4,231.6,1.7,8
2018.06 ,서울시,23.1,28.4,32.9,18.9,16.3,171.5,63,19,1007.6,14.9,5.9,236.6,1.7,5.7
2018.07 ,서울시,27.8,32.1,38.3,24.2,17.7,185.6,68,29,1008.5,20.6,5.1,228.5,1.5,4.2
2018.08 ,서울시,28.8,33.3,39.6,25.2,20.2,202.6,65,25,1007,20.8,5.8,232.5,1.7,7.1
2018.09 ,서울시,21.5,26,30.9,17.6,10.8,68.5,61,23,1013.2,12.9,5.1,218.7,1.6,5.7
2018.10 ,서울시,13.1,18.6,25.6,8.5,0.7,120.5,59,16,1018.9,4.6,3.7,241.9,1.5,6.1
2018.11 ,서울시,7.8,13.2,19.4,3.6,-3.1,79.1,58,12,1023.7,-1,4,177.6,1.4,5.6
2018.12 ,서울시,-0.6,4.1,13.5,-4.7,-14.4,16.4,46,16,1027.8,-11.6,3.8,199.9,1.8,5.9
2019.01 ,서울시,-0.9,4.1,8.5,-5.1,-10.1,-,46,11,1026.4,-12,3.1,215,1.8,6.8
2019.02 ,서울시,1,6,14.5,-3.2,-10.2,23.8,47,15,1024.5,-10.1,4.8,190.5,1.8,5.5
